I (3488) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3508) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3528) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3558) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3578) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3608) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3628) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3658) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3678) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3708) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3728) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3748) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3778) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3798) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3828) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3848) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3878) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3898) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3928) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3948) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3968) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (3998) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4018) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4048) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4068) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4098) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4118) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4148) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4168) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4188) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4218) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4238) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4268) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4288) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4318) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4338) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4368) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4388) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4408) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4438) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4458) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4488) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4508) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4538) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4558) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4588) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4608) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4628) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4658) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4678) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4708) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4728) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4758) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4778) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4808) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4828) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4848) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4878) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4898) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4928) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4948) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4978) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (4998) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5028) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5048) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5068) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5098) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5118) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5148) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5168) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5198) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5218) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5248) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5268) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5288) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5318) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5338) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5368) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5388) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5418) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5438) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5468) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5488) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5508) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5538) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5558) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5588) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5608) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5638) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5658) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5688) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5708) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5728) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5758) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5778) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5808) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5828) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5858) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5878) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5908) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5928) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5948) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5978) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (5998) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6028) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6048) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6078) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6098) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6128) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6148) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6168) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6198) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6218) main: ADC0:    0; DAC0:    0; PID: 21.755001
