I (1579) main: ADC0:  0.8; DAC0:    0; PID: 255.000
I (2209) main: ADC0:  0.8; DAC0:    0; PID: 255.000
I (2849) main: ADC0:  0.3; DAC0:    0; PID: 255.000
I (3489) main: ADC0:  0.5; DAC0:    0; PID: 255.000
I (4119) main: ADC0:  0.8; DAC0:    0; PID: 255.000
I (4759) main: ADC0:  0.5; DAC0:    0; PID: 255.000
I (5389) main: ADC0:  0.9; DAC0:    0; PID: 255.000
I (6029) main: ADC0:  0.9; DAC0:    0; PID: 255.000
I (6659) main: ADC0:  0.9; DAC0:    0; PID: 255.000
I (7299) main: ADC0:  1.7; DAC0:    0; PID: 255.000
I (7929) main: ADC0:  2.0; DAC0:    0; PID: 255.000
I (8569) main: ADC0:  1.7; DAC0:    0; PID: 255.000
I (9209) main: ADC0:  1.7; DAC0:    0; PID: 255.000
I (9839) main: ADC0:  1.4; DAC0:    0; PID: 255.000
I (10479) main: ADC0:  1.5; DAC0:    0; PID: 255.000
I (11109) main: ADC0:  1.6; DAC0:    0; PID: 255.000
I (11749) main: ADC0:  1.1; DAC0:    0; PID: 255.000
I (12379) main: ADC0:  1.1; DAC0:    0; PID: 255.000
I (13019) main: ADC0:  1.1; DAC0:    0; PID: 255.000
I (13649) main: ADC0:  1.1; DAC0:    0; PID: 255.000
I (14289) main: ADC0:  1.5; DAC0:    0; PID: 255.000
I (14929) main: ADC0:  1.7; DAC0:    0; PID: 255.000
I (15559) main: ADC0:  1.7; DAC0:    0; PID: 255.000
I (16199) main: ADC0:  1.8; DAC0:    0; PID: 255.000
I (16829) main: ADC0:  1.7; DAC0:    0; PID: 255.000
I (17469) main: ADC0:  1.5; DAC0:    0; PID: 255.000
I (18099) main: ADC0:  1.5; DAC0:    0; PID: 255.000
I (18739) main: ADC0:  1.9; DAC0:    0; PID: 255.000
I (19369) main: ADC0:  2.0; DAC0:    0; PID: 255.000
I (20009) main: ADC0:  1.8; DAC0:    0; PID: 255.000
I (20649) main: ADC0:  1.9; DAC0:    0; PID: 255.000
